cabinet_proportion,election_year,sq_cabinet,sq_pm,caretaker,cabinet_party,prime_minister,mingov,bicameral,largest_parl,largest_cab,A,B,B_star,C,D,E,country_dummy1,country_dummy2,country_dummy3,country_dummy4,country_dummy5,country_dummy6,country_dummy7,country_dummy8,country_dummy9,country_dummy10,country_dummy11,country_dummy12,country_dummy13,latent_var_1 for population_based_party_influence,latent_var_2 for population_based_party_influence,latent_var_1 for party_pivitality,latent_var_2 for party_pivitality,latent_var_3 for party_pivitality
0.0,-0.05085111792673797,0,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.150518904722987,0.8669442436615871,-0.6453691129282804,-1.452259640160179,0.7674304125325501
0.5,1.1785118920346065,1,1.0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.68122369023356,-2.247813627870073,5.313452316847912,-0.10523058837463335,-0.6746939647311336
0.0,-0.5972346779095578,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9519119144863203,-1.3258292547611819,-0.06619569919441085,-1.9398589885136859,-0.29854398684215544
0.0,0.08574477206896697,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.8105849143634962,-1.737293512142806,1.2162655824404252,-1.6172186994140265,-0.21864614295824317
0.53333336,-0.5972346779095578,1,1.0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.4164994743249975,-1.7884250207552015,4.039150586615609,-0.4496517224726107,-0.6724855590044204
0.0,-0.05085111792673797,1,1.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.7820188669726478,2.223061427052465,0.9441651798006455,-0.3838923035279365,2.3839089373195708
0.0,0.7687242220474917,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.7232072604804115,-0.03176386053362024,1.1685392666142724,-1.5440903534388137,-0.3679202941189519
0.5625,-0.5972346779095578,1,0.0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.2704766214342285,-0.729988131985582,3.407065042140051,-0.5504392354826549,-0.028799631708879222
0.0,-1.2802141278880825,0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.3457436021207225,-0.38303856930265967,0.7513385313999162,-0.6304849010183154,-0.1503173514071217
0.45454547,-1.0070223478966724,1,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.3336777389284172,-1.9885525984301406,1.2392405428698436,-1.5218079238037174,-0.35507103786933186
0.0,-1.5534059078794924,0,0.0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1.6521090136597667,-0.6566450625034235,-0.4589204442653534,-2.135194710971423,0.5696608858411033
0.0,0.49553244205608177,0,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1.399608393567074,-0.6774806467206325,-0.6568753351495689,-1.5550521337145273,0.35842216877205296
0.0,-0.46063878791385277,0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6828323365190769,-0.9231822989433573,3.400204525372549,-0.618311719760208,0.07264062255627989
0.0,1.4517036720260164,0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.6908699375389077,-0.32511670084617483,2.038911059930072,-1.3964985436531545,0.568048712751552
0.0,0.9053201120431966,0,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0723738681482522,-0.46160375001770776,2.2400426911448634,0.06302829047396287,-0.5943134527269309
